station_id,station_name,latitude,longitude,neighborhood
7000,Fort York  Blvd / Capreol Ct,43.639832,-79.395954,Fort York - Entertainment District
7001,Wellesley Station Green P,43.664964,-79.383550,Church Wellesley / Yorkville
7002,St. George St / Bloor St W,43.667131,-79.399555,U of T - Hospital Row
7003,Madison Ave / Bloor St W,43.667018,-79.402796,Bloor St W / Annex
7005,King St W / York St,43.648001,-79.383177,Financial District
7006,Bay St / College St (East Side),43.660439,-79.385525,U of T - Hospital Row
7007,College St / Huron St,43.658148,-79.398167,U of T - Hospital Row
7008,Wellesley St W / Queen's Park Cres,43.663376,-79.392125,U of T - Hospital Row
7009,King St E / Jarvis St,43.650181,-79.372523,Financial District
7010,King St W / Spadina Ave,43.645142,-79.395104,Fort York - Entertainment District
7013,Scott St / The Esplanade,43.646597,-79.375309,Financial District
7014,Sherbourne St / Carlton St (Allan Gardens),43.663102,-79.373181,Church Wellesley / Yorkville
7015,King St W / Bay St (West Side),43.648520,-79.380576,Valet Stations
7016,Bay St / Queens Quay W (Ferry Terminal),43.640978,-79.376785,Waterfront
7017,Widmer St / Adelaide St W - SMART,43.647548,-79.391552,Fort York - Entertainment District
7018,Bremner Blvd / Rees St,43.641529,-79.386741,Waterfront
7019,Temperance St Station,43.650945,-79.379498,Valet Stations
7020,Phoebe St / Spadina Ave,43.650033,-79.396555,Fort York - Entertainment District
7021,Bay St / Albert St,43.653264,-79.382458,Financial District
7023,College St / Borden St,43.657100,-79.405600,College St - Harbord St
7024,Dundonald St / Church St,43.666630,-79.381480,Church Wellesley / Yorkville
7025,Ted Rogers Way / Bloor St E,43.671293,-79.380471,Church Wellesley / Yorkville
7026,Bay St / St. Joseph St,43.665527,-79.387499,U of T - Hospital Row
7027,Beverley St / Dundas St W,43.652823,-79.393388,Fort York - Entertainment District
7028,Gould St / Mutual St,43.658200,-79.376800,Financial District
7029,Bay St / Bloor St W (East Side),43.669430,-79.389150,Church Wellesley / Yorkville
7030,Bay St / Wellesley St W,43.664088,-79.387095,U of T - Hospital Row
7031,Jarvis St / Isabella St,43.668991,-79.379385,Church Wellesley / Yorkville
7032,Augusta Ave / Dundas St W,43.652473,-79.401456,College St - Harbord St
7033,Union Station,43.645609,-79.380386,Financial District
7034,Church St / Bloor St E,43.671389,-79.382919,Church Wellesley / Yorkville
7035,Queen St W / Ossington Ave,43.643975,-79.419576,Liberty Village - Queen West
7036,Trinity St /Front St E,43.651318,-79.360230,Regent Park - Distillery
7037,Bathurst St / Dundas St W,43.651892,-79.405779,College St - Harbord St
7038,Dundas St W / Yonge St,43.656094,-79.381484,Financial District
7039,Simcoe St / Michael Sweet Ave,43.652327,-79.388254,Financial District
7040,Euclid Ave / Bloor St W,43.664467,-79.414783,Bloor St W / Annex
7041,Edward St / Yonge St,43.656729,-79.382736,Financial District
7042,Sherbourne St / Wellesley St E,43.667300,-79.374000,Church Wellesley / Yorkville
7043,Queens Quay W / Lower Simcoe St,43.639510,-79.383717,Waterfront
7044,Church St / Alexander St,43.663722,-79.380288,Church Wellesley / Yorkville
7045,Bond St / Queen St E,43.653236,-79.376716,Financial District
7046,Niagara St / Richmond St W,43.645340,-79.409597,Liberty Village - Queen West
7047,University Ave / Gerrard St W (East Side),43.657763,-79.389165,Valet Stations
7048,Front St W / Yonge St (Hockey Hall of Fame),43.646323,-79.377465,Financial District
7049,Portland St / Queen St W,43.647600,-79.401500,Fort York - Entertainment District
7050,Richmond St E / Jarvis St Green P,43.652634,-79.374222,South
7052,Wellington St W / Bay St,43.647259,-79.379878,Financial District
7053,Metro Hall Plaza,43.645859,-79.387830,Financial District
7054,Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,Waterfront
7055,Jarvis St / Carlton St,43.662070,-79.376170,Church Wellesley / Yorkville
7057,Simcoe St / Wellington St W South,43.645857,-79.385365,Financial District
7058,Huron St / Harbord St,43.663700,-79.400053,South
7059,Front St W / Blue Jays Way,43.643473,-79.390477,Waterfront
7061,Dalton Rd / Bloor St W,43.666294,-79.406643,Bloor St W / Annex
7063,Queen's Park / Bloor St W,43.668456,-79.393899,Church Wellesley / Yorkville
7064,51 Parliament St,43.652169,-79.362841,Regent Park - Distillery
7065,Dundas St E / Parliament St,43.659575,-79.365769,Regent Park - Distillery
7066,Willcocks St / St. George St,43.662085,-79.397735,U of T - Hospital Row
7069,Queen St W / Spadina Ave,43.649147,-79.395504,Fort York - Entertainment District
7070,25 York St – Union Station South,43.643667,-79.380414,Waterfront
7071,161 Bleecker St (South of Wellesley),43.666233,-79.373327,Church Wellesley / Yorkville
7073,Spadina Ave / Fort York Blvd,43.640114,-79.393249,Fort York - Entertainment District
7074,King St E / Church St,43.650204,-79.373351,Financial District
7075,Queens Quay W / Dan Leckie Way,43.636533,-79.395854,Waterfront
7076,York St / Queens Quay W,43.640132,-79.380464,Waterfront
7077,College Park South,43.659457,-79.382365,U of T - Hospital Row
7078,College St / Major St,43.657600,-79.403200,College St - Harbord St
7079,McGill St / Church St,43.660694,-79.379052,Church Wellesley / Yorkville
7083,Danforth Ave / Barrington Ave,43.688325,-79.300463,Danforth
7084,High Park - Grenadier Cafe,43.645599,-79.465712,Bloor St W - High Park
7085,Danforth Ave / Westlake Ave,43.687323,-79.304848,Danforth
7086,High Park - West Rd,43.651922,-79.465693,Bloor St W - High Park
7087,Danforth Ave / Aldridge Ave,43.684758,-79.316767,Danforth
7088,Danforth Ave / Coxwell Ave,43.683378,-79.322961,Danforth
