raw_station_name,canonical_station_name,station_key,line_code
(APPROACHING) KENNEDY,Kennedy,ST_066,BD
1 ST CLAIR AVENUE EAST,St. Clair,ST_008,YU
1 TIPPETT ROAD,Unknown,ST_000,YU
111 SPADINA ROAD,Spadina,ST_024,YU
1900 YONGE MCBRIEN BLD,Davisville,ST_007,YU
1900 YONGE ST- MCBRIEN,Davisville,ST_007,YU
1900 YONGE STREET,Davisville,ST_007,YU
2233 SHEPPARD WEST,Sheppard West,ST_032,YU
250 BLOOR ST E,Bloor-Yonge,ST_011,YU
391 ALLIANCE,Unknown,ST_000,YU
ALL OPEN CUT AREA,Unknown,ST_000,YU
ALL OPEN CUTS,Unknown,ST_000,YU
ALL STATIONS,Unknown,ST_000,YU
ALLEN ROAD AND EGLINTO,Eglinton,ST_006,YU
APPROACHING DUNDAS WES,Dundas West,ST_047,BD
APPROACHING FINCH STAT,Finch,ST_001,YU
APPROACHING OLD MILL S,Old Mill,ST_042,BD
APPROCHING OLD MILL ST,Old Mill,ST_042,BD
ARROW GARAGE,Unknown,ST_000,YU
ASQUITH SUBSTATION,Unknown,ST_000,YU
AVENUE ECLRT STATION,Unknown,ST_000,YU
AVENUE STATION,Unknown,ST_000,YU
B/W BLOOR DANFORTH SUB,Bloor-Yonge,ST_011,YU
BATHURST STATION,Bathurst,ST_052,BD
BATHURST TO CASTLE FRA,Bathurst,ST_052,BD
BATHURST TO CHRISTIE,Bathurst,ST_052,BD
BATHUST TO PAPE STATIO,Bathurst,ST_052,BD
BAY AND BLOOR,Bay,ST_053,BD
BAY LOWER,Bay,ST_053,BD
BAY LOWER STATION,Bay,ST_053,BD
BAY STATION,Bay,ST_053,BD
BAY STATION TO PAPE ST,Bay,ST_053,BD
BAYVIEW STATION,Bayview,ST_067,SHP
BAYVIEW SUBSTATION,Bayview,ST_067,SHP
BAYVIEW TO BESSARION,Bayview,ST_067,SHP
BD LINE CHANGEOVERS,Unknown,ST_000,BD
BESSARION STATION,Bessarion,ST_068,SHP
BETWEEN SHEPPARD AND S,Sheppard-Yonge,ST_003,YU
BETWEEN SHERBOURNE AND,Sherbourne,ST_054,BD
BETWEEN WARDEN STATION,Warden,ST_065,BD
BIRCHMOUNT DIVISION,Kennedy,ST_066,BD
BIRCHMOUNT EE,Kennedy,ST_066,BD
BIRCHMOUNT EMERGENCY E,Kennedy,ST_066,BD
BLOOR / DANFORTH LINE,Bloor-Yonge,ST_011,YU
BLOOR DANFORTH LINE,Bloor-Yonge,ST_011,YU
BLOOR DANFORTH LINE 2,Bloor-Yonge,ST_011,YU
BLOOR DANFORTH SUBWAY,Bloor-Yonge,ST_011,YU
BLOOR DANFORTHLINE,Bloor-Yonge,ST_011,YU
BLOOR HUB,Bloor-Yonge,ST_011,YU
BLOOR SATION,Bloor-Yonge,ST_011,YU
BLOOR STATION,Bloor-Yonge,ST_011,YU
BLOOR STATION - YONGE,Bloor-Yonge,ST_011,YU
BLOOR STATION TO YORK,Bloor-Yonge,ST_011,YU
BLOOR STATION-DUNDAS S,Bloor-Yonge,ST_011,YU
BLOOR TO DAVISVILLE ST,Bloor-Yonge,ST_011,YU
BLOOR TO MUSUEM STATIO,Bloor-Yonge,ST_011,YU
BLOOR TO ROSEDALE STAT,Bloor-Yonge,ST_011,YU
BLOOR VIADUCT,Broadview,ST_056,BD
BLOOR YONGE,Bloor-Yonge,ST_011,YU
BLOOR YU / YONGE BD ST,Bloor-Yonge,ST_011,BD
BLOOR-DANFORTH,Bloor-Yonge,ST_011,YU
BLOOR-DANFORTH LINE,Bloor-Yonge,ST_011,YU
BLOOR-DANFORTH SUBWAY,Bloor-Yonge,ST_011,YU
BLOOR/DANFORTH AND YON,Bloor-Yonge,ST_011,YU
BLOOR/DANFORTH LINE,Bloor-Yonge,ST_011,YU
BLOOR/YONGE,Bloor-Yonge,ST_011,YU
BRAODVIEW STATION TO W,Broadview,ST_056,BD
BROADVIEW AND DANFORTH,Broadview,ST_056,BD
BROADVIEW AND ST GEORG,Broadview,ST_056,BD
BROADVIEW CENTRE TRACK,Broadview,ST_056,BD
BROADVIEW STATION,Broadview,ST_056,BD
